primaryEIC;eic;transparencyID;name;shortName;orgEic;transmissionId
40W000000000162H;40W000000000923W;162;ISTANBUL DOGAL GAZ KOMBINE CEVRIM SANTRALI (A);AMDOGA      ;40X000000000195P;1230
40W000000000163F;40W000000000829O;163;DERBENT;DERBEN      ;40X000000000195P;667
40W0000000001677;40W000000000851V;167;KARKAMIS HES;KARKAM      ;40X000000000195P;999
40W0000000001693;40W000000000934R;169;ISTANBUL FUEL OIL VE DOGALGAZ KOMBINE CEVRIM SANTRALI (B);AMBFO       ;40X000000000195P;638
40W0000000001693;40W000000000937L;169;ISTANBUL FUEL OIL VE DOGALGAZ KOMBINE CEVRIM SANTRALI (B);AMBFO       ;40X000000000195P;638
40W0000000001693;40W000000000933T;169;ISTANBUL FUEL OIL VE DOGALGAZ KOMBINE CEVRIM SANTRALI (B);AMBFO       ;40X000000000195P;638
40W0000000001693;40W000000000936N;169;ISTANBUL FUEL OIL VE DOGALGAZ KOMBINE CEVRIM SANTRALI (B);AMBFO       ;40X000000000195P;638
40W000000000180F;40W000000000859F;180;AFSIN ELBISTAN A TERMIK SANTRALI;ELBS A      ;40X000000000195P;651
40W000000000180F;40W000000000858H;180;AFSIN ELBISTAN A TERMIK SANTRALI;ELBS A      ;40X000000000195P;651
40W000000000180F;40W000000000857J;180;AFSIN ELBISTAN A TERMIK SANTRALI;ELBS A      ;40X000000000195P;651
40W000000000180F;40W000000000856L;180;AFSIN ELBISTAN A TERMIK SANTRALI;ELBS A      ;40X000000000195P;651
40W000000000182B;40W000000000861S;182;SUAT UGURLU;SUAT U      ;40X000000000195P;1392
40W0000000001855;40W0000000009981;185;KRALKIZI HES;KRLKIZ      ;40X000000000195P;997
40W0000000001871;40W000000001024O;187;DEMIRKOPRU HES;DEMKOP      ;40X000000000195P;715
40W0000000001952;40W0000000013381;195;KAPULUKAYA;KAPULU      ;40X000000000195P;883
40W000000000197Z;40W000000001368T;197;CAMLIGOZE HES;Camlýg      ;40X000000000195P;656
40W000000000199V;40W000000001465V;199;SEYHAN I;SEYHA1      ;40X000000000195P;1078
40W000000000202V;40W000000000940W;202;18 MART CAN TS;CAN TS      ;40X000000000195P;712
40W000000000235G;40W000000001023Q;235;KESIKKOPRU HES;KESIKK      ;40X000000000195P;884
40W000000000238A;40W000000001467R;238;SEYHAN 2;seyhn2      ;40X000000000195P;1083
40W000000000241L;40W000000001032P;241;ARENKO ELEKTRIK URETIM ANONIM SIRKETI;AREN86      ;40X0000000001542;1588
40W000000000244F;40W000000001041O;244;HALKALI KAGIT KARTON SANAYI TICARET A.S.ISTANBUL SANTRALI. ;Halk88      ;40X000000000116A;1159
40W000000000245D;40W000000003658A;245;KARDEMIR KUVVET SANTRALI;KARDEM      ;40X0000000001534;1830
40W000000000245D;40W000000000260H;245;KARDEMIR KUVVET SANTRALI;KARDEM      ;40X0000000001534;1830
40W000000000246B;40W000000001044I;246;KOMBASSAN A.S.(KONYA);KOMB89      ;40X000000000158V;910
40W000000000254C;40W000000001458S;254;BOTAN;BOTAN       ;40X000000000195P;1009
40W000000000260H;40W0000000014701;260;KEPEZ 1;KEPEZ1      ;40X000000000195P;944
40W000000000261F;40W100000001471N;261;KEPEZ 2;KEPEZ2      ;40X000000000195P;1682
40W000000000270E;40W0000000002592;270;FESLEK HES;FESL1       ;40X0000000001089;1481
40W000000000271C;40W0000000002584;271;DALAMAN 1-2-3-4-5 HES;DALA2       ;40X0000000001089;1467
40W000000000272A;40W0000000002576;272;BEREKET 1 - 2 HES (GOKYAR);BERE3       ;40X0000000001089;1589
40W0000000002738;40W0000000011559;273;PINARBASI SANTRALI;DESA        ;40X0000000002344;1447
40W0000000002762;40W0000000014256;276;TORTUM;TORTUM      ;40X000000000195P;1948
40W0000000002770;40W000000001359U;277;DERE ICI;DereIC      ;40X000000000195P;1289
40W0000000002835;40W000000001369R;283;KOYULHISAR;Koyulh      ;40X000000000195P;952
40W0000000002932;40W000000001314F;293;KASTAMONU ENTEGRE-KOCAELI KOJEN. SANT.;KASTAM      ;40X000000000168S;769
40W000000000306J;40W000000001700A;306;MURATLI HES ;MURATL      ;40X000000000195P;1344
40W000000000306J;40W0000000016996;306;MURATLI HES ;MURATL      ;40X000000000195P;1344
40W000000000321N;40W000000002717P;321;TEKBOY TEKSTIL VE BOYAMA SAN.VE TIC.AS.;Tekb28      ;40X000000000265U;1138
40W000000000326D;40W000000002195T;326;ENERJISA KENTSA SANTRALI;KENTSA      ;40X000000000282U;699
40W0000000003394;40W0000000024162;339;OYMAPINAR;OYMAPN      ;40X0000000001348;878
40W0000000003394;40W0000000024154;339;OYMAPINAR;OYMAPN      ;40X0000000001348;878
40W000000000340J;40W000000003449J;340;ZORLU ENERJI YALOVA SANTRALI;YALOVA      ;40X000000000104H;876
40W000000000342F;40W000000002517X;342;KONYA SEKER FABRIKASI;Kony09      ;40X000000000106D;2018
40W0000000003483;40W0000032044022;348;YAMULA BARAJI VE HES;YAMULA      ;40X000000000195P;894
40W0000000003483;40W0000032044014;348;YAMULA BARAJI VE HES;YAMULA      ;40X000000000195P;894
40W0000000003491;40W000000002545S;349;ALKIM KAGIT SANAYI VE TICARET A.S.;alkI04      ;40X000000000269M;719
40W000000000353A;40W000000002543W;353;ALIAGA DGKCS(HABAS DGKCS);H.DGKC      ;40X100000000181N;2411
40W000000000353A;40W000000002543W;353;ALIAGA DGKCS(HABAS DGKCS);H.DGKC      ;40X100000000181N;1449
40W0000000003548;40W000000002658F;354;HABAS BILECIK SANTRALI;H.BILE      ;40X100000000181N;1551
40W0000000003556;40W000000002661Q;355;ALIAGA DIESEL EUS(HABAS ALIAGA SANTRALI);H.ALIA      ;40X100000000181N;1448
40W0000000003564;40W000000003910Q;356;CIHANBEYLI KOJENERASYON SANTRALI;alkI8       ;40X0000000002085;927
40W000000000359Z;40W000000002572P;359;URFA HES;URFA07      ;40X0000000105945;1037
40W0000000003629;40W000000002590N;362;KUCUKCALIK;KUCU11      ;40X0000000003510;774
40W0000000003637;40W0000000025987;363;HACILAR HES;HACI11      ;40X000000000294N;1022
40W0000000003661;40W000000002616V;366;CAN ENERJI ENTEGRE-CORLU KOJENERASYON SANTRALI;CAN 72      ;40X000000000346U;1196
40W000000000368Y;40W0000000026211;368;AKBASLAR ENERJI;Akba26      ;40X0000000002425;664
40W000000000376Z;40W0000000004560;376;STANDART PROFIL;Stan64      ;40X000000000139Z;857
40W000000000377X;40W000000002359P;377;BAGCI BALIK;BaGc27      ;40X000000000231A;722
40W000000000379T;40W000000002675F;379;SAHINLER;SAHI65      ;40X000000000348Q;1218
40W0000000003831;40W000000002682I;383;ISMEN123;Isme29      ;40X0000000001194;1611
40W000000000386W;40W000000002705W;386;TIRE KUTSAN BIRLESIK ENERJI;TIRE60      ;40X0000000002360;748
40W000000000387U;40W0000000040540;387;ICDAS BIGA TERMIK SANTRALI;ICDAS;40X000000000369I;967
40W000000000387U;40W0000000042411;387;ICDAS BIGA TERMIK SANTRALI;ICDAS;40X000000000369I;967
40W000000000387U;40W000000002728K;387;ICDAS BIGA TERMIK SANTRALI;ICDAS;40X000000000369I;967
40W000000000387U;40W000000004136Z;387;ICDAS BIGA TERMIK SANTRALI;ICDAS;40X000000000369I;967
40W000000000388S;40W000000002727M;388;IZMIT PAKMAYA KOJENERASYON TESISI;IZMI18      ;40X0000000002077;788
40W000000000389Q;40W000000002732T;389;PAK GIDA URETIM VE PAZARLAMA A.S. (DUZCE);PAK 66      ;40X0000000002433;787
40W0000000003904;40W000000002741S;390;IZAYDAS;IZAY19      ;40X000000000105F;764
40W0000000003912;40W000000002745K;391;TRAKYA BOLGE SANTRALI (CAMIS);CAMTRK      ;40X000000000157X;1199
40W000000000401P;40W000000002659D;401;GOODYEAR2TURBIN;GOOD21      ;40X000000000120J;723
40W000000000402N;40W000000003573I;402;DODURGALAR HES I-II;Dodu69      ;40X000000000372T;1603
40W000000000403L;40W0000000027785;403;ALTEK KIRKLARELI DGKCS (DOGALGAZ);ALTEK       ;40X0000000003413;1173
40W000000000405H;40W000000002780I;405;SARKUYSAN A.S.;Sark63      ;40X000000000121H;855
40W000000000406F;40W0000000031193;406;SULFURIK ASIT;sUlf75;40X0000000003324;724
40W000000000407D;40W000000002880E;407;CAYGOREN HES;Cayg23      ;40X000000000364S;1520
40W000000000408B;40W000000002997U;408;MEGE DORA-1;MEGE24      ;40X000000000366O;1475
40W000000000410O;40W000000002999Q;410;MENTAS HES;MNTHES      ;40X0000000001089;1091
40W000000000411M;40W0000000030804;411;PENDIK SANTRALI_(DOGALGAZ+LPG(MOTORIN));BERK        ;40X000000000290V;673
40W000000000415E;40W000000003002O;415;BORAKS;S00415;40X0000000003324;726
40W000000000416C;40W000000003003M;416;KIRKA;S00416;40X0000000003324;703
40W0000000004188;40W0000000036101;418;TANRIVERDI DOKUMA APRE VE BOYA SAN A.S;TANRIV      ;40X000000000368K;1140
40W000000000420L;40W000003199472K;420;KARKEY KARADENIZ ELEKTRIK URETIM A.S (1);KAR-1       ;40X000000000337V;1058
40W000000000420L;40W000003199472K;420;KARKEY KARADENIZ ELEKTRIK URETIM A.S (1);KAR-1       ;40X000000000337V;649
40W000000000420L;40W000000003452U;420;KARKEY KARADENIZ ELEKTRIK URETIM A.S (1);KAR-1       ;40X000000000337V;1058
40W000000000420L;40W000000003452U;420;KARKEY KARADENIZ ELEKTRIK URETIM A.S (1);KAR-1       ;40X000000000337V;649
40W000000000421J;40W000000003454Q;421;KARKEY KARADENIZ ELEKTRIK URETIM A.S (2);KAR-2       ;40X000000000337V;1059
40W000000000433C;40W000000003211F;433;KAREL PAMUKOVA SANTRALI;KAREL       ;40X000000000357P;766
40W000000000434A;40W0000000034214;434;HAYAT KIMYA(KAGIT) SAN. A.S;HATEM       ;40X000000000272X;880
40W000000000440F;40W100000003432N;440;ORTA DOGU RULMAN POLATLI SANTRALI;ORS         ;40X0000000001364;905
40W0000000004455;40W000000003560R;445;BILENERJI;BILEN       ;40X0000000003316;887
40W0000000004463;40W100000003530N;446;BASARAN HIDROELEKTRIK SANTRALI;S00446;40X000000000386I;1480
40W000000000449Y;40W000000003531Y;449;TUPRAS - IZMIT RAFINERISI;TUP.IZ      ;40X000000000379F;867
40W000000000450C;40W000000003533U;450;PAK GIDA URETIM VE PAZARLAMA A.S. IZMIR;PakIzr      ;40X000000000392N;744
40W000000000451A;40W000000003540X;451;MERSIN KOJENERASYON SANTRALI;CAMMER      ;40X000000005297T;1086
40W0000000004528;40W000000003549F;452;SAMUR HALILARI SANAYI VE TIC. A.S;SAMUR       ;40X000000000122F;889
40W0000000004528;40W000000003549F;452;SAMUR HALILARI SANAYI VE TIC. A.S;SAMUR       ;40X000000000122F;2406
40W0000000004536;40W000000003566F;453;AYDIN ORME AKYAZI SANTRALI;AKYAZI      ;40X000000000204D;671
40W0000000004560;40W000000003568B;456;ALIZE ENERJI CESME SANTRALI;CESME       ;40X000000000361Y;1485
40W000000000457Z;40W000000003575E;457;ARCELIK ESKISEHIR;ARCESK      ;40X000000000286M;670
40W000000000458X;40W000000003571M;458;AKIN TEKSTIL ;AKIN        ;40X0000000001461;1116
40W0000000004609;40W0000000035788;460;NURYILDIZ;nuryýl      ;40X0000000001550;1150
40W0000000004625;40W000000003580L;462;CELIK HALAT VE TEL SANAYII A.S.;CELIK       ;40X0000000003251;689
40W0000000004633;40W000000003581J;463;KORUMA KLOR ALKALI KOJENERASYON SANTRALI;DERINC      ;40X0000000003340;770
40W0000000004641;40W000000003582H;464;CORLU KOJENERASYON SANTRALI;S00464;40X000000000384M;1153
40W000000000467W;40W0000000035958;467;KARTONSAN KARTON SANAYI VE TIC. A.S.;Karton      ;40X000000000327Y;768
40W000000000469S;40W000000003593C;469;KIZKALE ELEKTRIK URETIM SANAYI TICARET LIM.STI.;S00469;40X000000000401B;2287
40W000000000474Z;40W000000003623T;474;MOPAK KAGIT-KARTON SAN. VE TIC. A.S.  DALAMAN;DALAMA      ;40X000000000184U;1753
40W0000000004811;40W000000003627L;481;AMYLUM NISASTA KOJENERASYON SANTRALI-1;ANIKO1      ;40X000000000393L;1244
40W000000000483Y;40W000000003645J;483;KIZILDUZ SAHMALLAR HES;KZD         ;40X0000000085200;976
40W000000000483Y;40W000000003645J;483;KIZILDUZ SAHMALLAR HES;KZD         ;40X0000000085200;1778
40W0000000004900;40W000000003662J;490;KALEALTI HES;Kale        ;40X000000000280Y;1090
40W0000000004900;40W000000003662J;490;KALEALTI HES;Kale        ;40X000000000280Y;1090
40W000000000491Z;40W000000003664F;491;ITC-KA- MAMAK KATI ATIK SANT.;ITC-KA      ;40X0000000004207;896
40W000000000493V;40W0000000036687;493;MARE MANASTIR RUZ.EN.SANT.;Mare        ;40X000000000419T;1499
40W000000000494T;40W0000000036695;494;YILDIZ ENTEGRE KOJENERASYON SANTRALI;YILDIZ      ;40X000000000417X;872
40W000000000496P;40W000000001043K;496;MURGUL HES;Murgul      ;40X0000000004150;1345
40W000000000496P;40W000000001043K;496;MURGUL HES;Murgul      ;40X0000000004150;2446
40W000000000502J;40W100000003689N;502;INTEPE RES (ANEMON);anemon      ;40X000000000425Y;1490
40W000000000503H;40W000000003692A;503;BORCKA;BORCKA      ;40X000000000195P;1278
40W000000000505D;40W0000000036962;505;KILSAN OTOPRODUKTOR TESISI;KILSAN      ;40X0000000004061;1155
40W0000000005079;40W000000003712U;507;TAHTA HIDROELEKTRIK SANTRALI;Tahta       ;40X000000008440Z;1092
40W0000000005079;40W000000003712U;507;TAHTA HIDROELEKTRIK SANTRALI;Tahta       ;40X000000008440Z;1092
40W0000000005087;40W0000000035966;508;KMK K.MARAS URT.TES.;Kmk         ;40X000000000298F;1057
40W0000000005095;40W0000000035974;509;GRANISER;gr1         ;40X000000000287K;734
40W000000000510K;40W100000003611N;510;YILDIZ SUNTA KOCAELI DOGALGAZ SANTRALI;YILSTT      ;40X0000000001283;873
40W000000000511I;40W000000002773F;511;GOODYEAR LASTIKLERI / IZMIT;S00511;40X000000000291T;753
40W000000000512G;40W000000003612Y;512;ZEYNEP GIYIM SAN.TIC.A.S.CORLU SANTRALI;ZEYNEP      ;40X000000000273V;1132
40W000000000514C;40W0000000035982;514;GULLE ENTEGRE TEKSTIL ISL. SAN. VE TIC. A.S.;GUlle       ;40X0000000001623;1160
40W000000000530E;40W000000003715O;530;KEBAN DERESI HES;KebanT      ;40X000000000280Y;1025
40W000000000532A;40W000000003717K;532;MOLU HES;MOLU        ;40X000000000448M;916
40W0000000005338;40W000000003720V;533;SUSEHRI HES;SUSEHRI;40X000000000449K;954
40W0000000005338;40W000000003720V;533;SUSEHRI HES;SUSEHRI;40X000000000449K;954
40W000000000556X;40W000000003626N;556;EKOTEN;eoten       ;40X000000000400D;733
40W000000000558T;40W000000003729D;558;BURGAZ RES;burgaz      ;40X000000000459H;1194
40W000000000568Q;40W000000003740P;568;ORTAANADOLU TEKSTIL TIC.SAN. T.A.S;ORTA        ;40X000000000461U;2090
40W0000000005702;40W000000003001Q;570;EMET ;EMET        ;40X0000000003324;702
40W000000000573X;40W100000002703N;573;BANDIRMA RES(BILGIN GUC);BARES       ;40X000000000294N;1516
40W000000000575T;40W000000003746D;575;FIRNIS REGULATORU VE HES;FIRNIS      ;40X000000000487C;2392
40W000000000575T;40W000000003746D;575;FIRNIS REGULATORU VE HES;FIRNIS      ;40X000000000487C;1019
40W000000000578N;40W000000003826F;578;DEGIRMENUSTU HES;S00578;40X000000000488A;1094
40W000000000579L;40W0000000037497;579;KARASU HES;KARASU      ;40X0000000004898;1093
40W000000000583U;40W000000003754E;583;GOZEDE HIDROELEKTRIK SANTRALI;GOZEDE      ;40X000000000482M;755
40W000000000587M;40W0000000037578;587;YUNTDAG;YNT         ;40X0000000004037;1506
40W000000000589I;40W000000003760J;589;RESADIYE HIDROELEKTRIK SANTRALI;RSDYE_HES;40X000000000336X;1382
40W000000000589I;40W000000003760J;589;RESADIYE HIDROELEKTRIK SANTRALI;RSDYE_HES;40X000000000336X;1382
40W000000000590X;40W000000003761H;590;HAMZALI HIDROELEKTRIK SANTRALI;H-HES       ;40X000000000336X;902
40W000000000591V;40W0000000037667;591;SEBENOBA RES;SEBRES      ;40X0000000004215;1162
40W000000000593R;40W000000003764B;593;KALEN I-II REGULATORLERI VE HES;KALEN       ;40X0000000005009;1260
40W000000000595N;40W000000002528S;595;MURATLI KARTON  KAGIT VE SANAYI  TICARET A.S. ;MURAT       ;40X0000000005033;1152
40W000000000600J;40W0000000037683;600;CALDERE HES;Caldre      ;40X100000000505N;1466
40W000000000604B;40W000000028441Z;604;AKKOY I HES;AKK-I       ;40X0000000005114;956
40W000000000604B;40W000000003808H;604;AKKOY I HES;AKK-I       ;40X0000000005114;956
40W0000000006059;40W000000001645T;605;TOROS TARIM SANAYI VE TICARET A.S. MERSIN TESISI;MersIn      ;40X100000000522N;1242
40W0000000006083;40W000000001646R;608;TOROS TARIM SANAYI VE TICARET A.S CEYHAN SANTRALI;Torcey      ;40X100000000522N;1243
40W0000000006091;40W0000000037764;609;CALKISLA HES;IC-En       ;40X0000000005122;1284
40W000000000610G;40W0000000037772;610;CATALCA RES;CARES       ;40X0000000004134;1216
40W000000000611E;40W000003193618B;611;KEN KIPAS JES;KEN         ;40X000000000524W;1927
40W000000000612C;40W000000003781B;612;CANSU HIDROELEKTRIK SANTRALI;CANSU       ;40X000000000517T;731
40W000000000612C;40W000000003781B;612;CANSU HIDROELEKTRIK SANTRALI;CANSU       ;40X000000000517T;2443
40W000000000613A;40W000000003779Z;613;SAYALAR RES;SAYALA      ;40X000000000459H;1526
40W0000000006156;40W000000003780D;615;LODOS RES;KBZRES      ;40X0000000005211;1209
40W0000000006164;40W0000000037837;616;YUKARI MANAHOZ HES;ymh         ;40X000000000428S;1362
40W0000000006180;40W0000003213393;618;BESIKTAS RENAISSANCE ISTANBUL BOSPHORUS HOTEL KOJENERASYON SANT.;POLATR      ;40X000000000567E;1531
40W0000000006180;40W0000000037829;618;BESIKTAS RENAISSANCE ISTANBUL BOSPHORUS HOTEL KOJENERASYON SANT.;POLATR      ;40X000000000567E;1531
40W000000000619Z;40W0000000037845;619;SAMLI RES;SAMRES      ;40X000000000574H;1507
40W0000000006253;40W100000003787N;625;KUZGUN HES;KZGN        ;40X000000000582I;1340
40W000000000629W;40W000000003800X;629;MERCAN HES;MRCN        ;40X000000000582I;1002
40W000000000645Y;40W0000000037926;645;ATAKOY HES(ZORLU DOGAL ELK.);ATAKY       ;40X000000000582I;1370
40W000000000647U;40W0000000037942;647;CILDIR HES;CILDIR      ;40X000000000582I;1287
40W0000000006512;40W000000003802T;651;BAHCIVAN GIDA SAN. VE TIC. A.S.;BGK         ;40X000000000581K;1123
40W0000000006520;40W100000000188N;652;TERMAL SERAMIK;Termal      ;40X000000000583G;861
40W000000000653Z;40W000000003803R;653;HGM - KEKLICEK;HGM         ;40X0000000005789;1026
40W000000000655V;40W0000001344059;655;ANTALYA ENERJI SANTRALI(DOGALGAZ);ANTLYA      ;40X000000000396F;754
40W000000000655V;40W000000003804P;655;ANTALYA ENERJI SANTRALI(DOGALGAZ);ANTLYA      ;40X000000000396F;754
40W000000000658P;40W000000003807J;658;SEYRANTEPE HES;SEYRAN      ;40X100000004833N;991
40W0000000006601;40W000003204597Z;660;SARMASIK 1 REGULATORU VE HES;SAR1        ;40X000000004510N;1350
40W000000000662Y;40W000000003818E;662;AKCA ENERJI MENDERES TEKSTIL SANAYI VE TICARET A.S.;MNDRS       ;40X0000000005959;1581
40W000000000664U;40W000000003837A;664;DARES DATCA RES;DARES       ;40X0000000005975;1460
40W000000000665S;40W000000003841J;665;ORTADOGU ENERJI SAN. VE TIC. A.S.(EYUP ODAYERI COP BIOGAZ) ;ODAYER      ;40X000000000493H;1213
40W000000000669K;40W000000018588B;669;EREN ENERJI TERMIK SANTRALI ZONGULDAK;ZETES       ;40X100000000603N;877
40W000000000669K;40W000000018588B;669;EREN ENERJI TERMIK SANTRALI ZONGULDAK;ZETES       ;40X100000000603N;2065
40W000000000669K;40W000000018588B;669;EREN ENERJI TERMIK SANTRALI ZONGULDAK;ZETES       ;40X100000000603N;2264
40W000000000669K;40W000000025501L;669;EREN ENERJI TERMIK SANTRALI ZONGULDAK;ZETES       ;40X100000000603N;877
40W000000000669K;40W000000025501L;669;EREN ENERJI TERMIK SANTRALI ZONGULDAK;ZETES       ;40X100000000603N;2065
40W000000000669K;40W000000025501L;669;EREN ENERJI TERMIK SANTRALI ZONGULDAK;ZETES       ;40X100000000603N;2264
40W000000000669K;40W000000028365P;669;EREN ENERJI TERMIK SANTRALI ZONGULDAK;ZETES       ;40X100000000603N;877
40W000000000669K;40W000000028365P;669;EREN ENERJI TERMIK SANTRALI ZONGULDAK;ZETES       ;40X100000000603N;2065
40W000000000669K;40W000000028365P;669;EREN ENERJI TERMIK SANTRALI ZONGULDAK;ZETES       ;40X100000000603N;2264
40W000000000669K;40W000003196007P;669;EREN ENERJI TERMIK SANTRALI ZONGULDAK;ZETES       ;40X100000000603N;877
40W000000000669K;40W000003196007P;669;EREN ENERJI TERMIK SANTRALI ZONGULDAK;ZETES       ;40X100000000603N;2065
40W000000000669K;40W000003196007P;669;EREN ENERJI TERMIK SANTRALI ZONGULDAK;ZETES       ;40X100000000603N;2264
40W000000000669K;40W000003196567O;669;EREN ENERJI TERMIK SANTRALI ZONGULDAK;ZETES       ;40X100000000603N;877
